J.uAcm2_0.63_initialCA,¦Ö,Ne,r£¨2+£©,VNe,Mn,Ni,Mg,Ca,Fe,La,Y,In
2002.004762,1.658,26.6,0.723,6.8,0.1,0,0,0.1,0.7,0,0.1,0
944.8014286,1.206,24.4,0.872,3.6,0.3,0,0.1,0.5,0,0.1,0,0
1527.780952,1.519,25.8,0.773,6,0.3,0,0,0.2,0.4,0,0.1,0
830.1680952,1.446,30.7,0.916,5.5,0.5,0,0,0,0.1,0,0.4,0
3342.690476,1.378,30.5,0.848,5.3,0.5,0,0,0.2,0.1,0.2,0,0
2639.490476,1.553,27.5,0.716,6.7,0.6,0.2,0.1,0,0,0.1,0,0
1847.352381,1.646,23.6,0.642,7.2,0.4,0.4,0.2,0,0,0,0,0
2246.033333,1.165,21.5,0.894,3.5,0.3,0,0,0.7,0,0,0,0
2200.783333,1.435,19.6,0.632,4.8,0.4,0.1,0.4,0.1,0,0,0,0
1577.457143,1.319,26.3,0.892,4.7,0.5,0,0,0.3,0,0,0.2,0
2975.780952,1.483,22.2,0.668,5.8,0.6,0.1,0.2,0.1,0,0,0,0
3023.519048,1.555,23.5,0.666,6.3,0.5,0,0.1,0.1,0.3,0,0,0
1312.080952,1.491,27.6,0.894,6,0,0.4,0,0.3,0.1,0,0.2,0
1357.690476,1.522,28.3,0.766,6.7,0.6,0.2,0,0.1,0,0.1,0,0
2478.247619,1.261,24.9,0.84,4.1,0.4,0,0.1,0.4,0,0.1,0,0
1455.604762,1.62,25.5,0.744,7.5,0.3,0.5,0,0.2,0,0,0,0
1835.1,1.39,21.3,0.768,4.9,0.1,0.3,0.2,0.4,0,0,0,0
1240.171429,1.276,22.2,0.801,2.8,0.1,0,0.5,0.1,0,0,0.3,0
2758.880952,1.475,22,0.66,5.6,0.6,0,0.2,0.1,0.1,0,0,0
2010.319048,1.303,14.1,0.558,2.5,0.1,0,0.8,0.1,0,0,0,0
700.7604762,1.599,29.9,0.837,6.5,0.2,0.1,0,0,0.4,0,0.3,0
1403.757143,1.313,17.8,0.586,2.6,0.1,0,0.8,0,0,0.1,0,0
3074.602381,1.527,23.4,0.672,6.2,0.6,0,0.1,0.1,0.2,0,0,0
3142.021429,1.734,26,0.65,8,0.4,0.2,0,0,0.4,0,0,0
1952.87619,1.653,27.4,0.733,7.6,0.5,0.3,0,0,0.1,0,0.1,0
